Transaction Collection Report

 Trans ID     Job#  Empl ID  OpersID   Start Date/Time    Stop Date/Time  Result
  124904      1866      126     9032  01/23/2010 01:09  01/23/2010 01:34  128490                 
  124933      1866      526     9043  01/23/2010 03:41  01/23/2010 04:38  128491                 
  124934      1866      119     9043  01/23/2010 03:41  01/23/2010 04:08  128492                 
  124941      1866      526     9047  01/23/2010 04:11  01/23/2010 04:11  128493                 
  125404      1866      119     9043  01/25/2010 04:08  01/25/2010 05:35  128494                 
  125410      1866      119     9047  01/25/2010 04:20  01/25/2010 04:20  128495                 
  125575      1866      119     9047  01/25/2010 10:11  01/25/2010 10:11  128496                 
  124903      1867      126     9067  01/23/2010 00:58  01/23/2010 01:09  128497                 
  124939      1867      119     9078  01/23/2010 04:08  01/23/2010 04:37  128498                 
  124940      1867      119     9082  01/23/2010 04:09  01/23/2010 04:09  128499                 
  125270      1867      305     9084  01/24/2010 07:33  01/24/2010 08:02  128500                 
  125405      1867      526     9084  01/25/2010 04:09  01/25/2010 05:35  128501                 
  125419      1867      526     9082  01/25/2010 04:32  01/25/2010 04:32  128502                 
  125582      1867      526     9082  01/25/2010 10:31  01/25/2010 10:31  128503                 
  124908      1879      474     5608  01/23/2010 01:20  01/23/2010 01:44  128504                 
  124910      1879      474     4216  01/23/2010 01:43  01/23/2010 01:43  128505                 
  124913      1879      126     4201  01/23/2010 01:55  01/23/2010 03:33  128506                 
  124917      1879      119     4212  01/23/2010 02:19  01/23/2010 03:15  128507                 
  124918      1879      526     4212  01/23/2010 02:19  01/23/2010 03:16  128508                 
  124923      1879      119     4216  01/23/2010 02:43  01/23/2010 02:43  128509                 
  125004      1879      119     4212  01/23/2010 06:09  01/23/2010 09:08  128510                 
  125005      1879      526     4212  01/23/2010 06:09  01/23/2010 09:08  128511                 
  125010      1879      119     4216  01/23/2010 06:16  01/23/2010 06:16  128512                 
  125158      1879      526     5608  01/23/2010 17:17  01/23/2010 17:39  128513                 
  125159      1879      119     4212  01/23/2010 17:17  01/23/2010 17:38  128514                 
  125160      1879      526     4216  01/23/2010 17:38  01/23/2010 17:38  128515                 
  125246      1879      305     5608  01/24/2010 06:23  01/24/2010 07:08  128516                 
  125259      1879      305     4216  01/24/2010 06:50  01/24/2010 06:50  128517                 
  125275      1879      126     4201  01/24/2010 08:12  01/24/2010 08:40  128518                 
  125290      1879      305     5608  01/24/2010 09:19  01/24/2010 09:33  128519                 
  125391      1879      305     5608  01/25/2010 03:47  01/25/2010 04:10  128520                 
  125506      1879      305     5608  01/25/2010 07:44  01/25/2010 09:09  128521                 
  125534      1879      305     4216  01/25/2010 08:48  01/25/2010 08:48  128522                 
  125543      1879      126     4201  01/25/2010 09:14  01/25/2010 10:12  128523                 
  124901      1914      474    23028  01/23/2010 00:52  01/23/2010 01:20  128524                 
  124907      1914      474    23026  01/23/2010 01:20  01/23/2010 01:20  128525                 
  124929      1914      126    23011  01/23/2010 03:33  01/23/2010 03:49  128526                 
  125280      1914      126    23011  01/24/2010 08:40  01/24/2010 09:31  128527                 
  125518      1914      126    23011  01/25/2010 08:12  01/25/2010 08:21  128528                 
  124911      1915      474    23079  01/23/2010 01:44  01/23/2010 02:16  128529                 
  124915      1915      474    23077  01/23/2010 01:56  01/23/2010 01:56  128530                 
  124935      1915      126    23062  01/23/2010 03:49  01/23/2010 04:04  128531                 
  125523      1915      126    23062  01/25/2010 08:21  01/25/2010 09:14  128532                 
  124905      1918      526     4062  01/23/2010 01:11  01/23/2010 02:19  128533                 
  124906      1918      119     4062  01/23/2010 01:13  01/23/2010 02:19  128534                 
  124914      1918      526     4066  01/23/2010 01:55  01/23/2010 01:55  128535                 
  124937      1918      620     4052  01/23/2010 03:56  01/23/2010 05:01  128536                 
  124956      1918      119     4062  01/23/2010 04:59  01/23/2010 06:09  128537                 
  124957      1918      526     4062  01/23/2010 04:59  01/23/2010 06:09  128538                 
  124958      1918      620     4058  01/23/2010 05:00  01/23/2010 05:00  128539                 
  124971      1918      526     4066  01/23/2010 05:23  01/23/2010 05:23  128540                 
  125152      1918      119     4062  01/23/2010 16:47  01/23/2010 17:02  128541                 
  125153      1918      526     4062  01/23/2010 16:48  01/23/2010 17:03  128542                 
  125154      1918      119     4066  01/23/2010 16:56  01/23/2010 16:56  128543                 
  125230      1918      305     5683  01/24/2010 05:34  01/24/2010 06:23  128544                 
  125239      1918      305     4066  01/24/2010 05:59  01/24/2010 05:59  128545                 
  125375      1918      119     4062  01/25/2010 02:58  01/25/2010 04:08  128546                 
  125376      1918      526     5683  01/25/2010 02:59  01/25/2010 04:09  128547                 
  125388      1918      119     4066  01/25/2010 03:44  01/25/2010 03:44  128548                 
  125445      1918      620     4051  01/25/2010 05:16  01/25/2010 08:40  128549                 
  125463      1918      620     4058  01/25/2010 05:59  01/25/2010 05:59  128550                 
  125512      1918      119     4062  01/25/2010 07:54  01/25/2010 09:44  128551                 
  125514      1918      526     5683  01/25/2010 07:57  01/25/2010 09:45  128552                 
